"Part";"Value";"Device";"Package";"Description";"";
"ADXL";"ADXL362";"ADXL362";"TFLGA-16/3.3MMX3.1MM";"IC ACCEL DIG LO PWR 3AX 16LGA";"";
"ANT1";"ANTENNASMD";"ANTENNASMD";"1";"";"";
"C1";"02016D104KAT2A";"02016D104KAT2A";"0201";"";"";
"C2";"02016D104KAT2A";"02016D104KAT2A";"0201";"";"";
"C3";"GRM0335C1E101JA01D";"GRM0335C1E101JA01D";"G-033";"";"";
"C6";"02016D104KAT2A";"02016D104KAT2A";"0201";"";"";
"C7";"02016D104KAT2A";"02016D104KAT2A";"0201";"";"";
"C8";"02016D104KAT2A";"02016D104KAT2A";"0201";"";"";
"C9";"02016D104KAT2A";"02016D104KAT2A";"0201";"";"";
"NRF";"NRF52832-CIAA-R";"NRF52832-CIAA-R";"BGA50N40P7X8_300X320X40";"Multi Protocal Bluetooth Smart ANT 2.4GHz RF SoC (WL-CSP)";"";
"R6";"100OHMRC0402N-L";"100OHMRC0402N-L";"RES";"";"";
"U$1";"4.7µF";"4.7µF";"CAP";"";"";
"U$2";"0.8PF";"0.8PF";"CAP";"";"";
"U$3";"INDUCTOR";"INDUCTOR";"1";"";"";
"U$4";"SUPPLY";"SUPPLY";"SUPPLY";"";"";
